0, 0, Header, 1, 19, 120
1, 0, Start_track
1, 0, Title_t, "Symphony n° 1 in C major":
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 500000
1, 0, Marker_t, "L. Van Beethoven : Symphony n° 1 in C"
1, 480, Tempo, 1500000
1, 480, Marker_t, "I : Adagio molto - Allegro con brio"
1, 2100, Tempo, 1714286
1, 2280, Tempo, 1600000
1, 2400, Tempo, 1481481
1, 2490, Tempo, 1666667
1, 2520, Tempo, 1481481
1, 2850, Tempo, 1739130
1, 2880, Tempo, 1463415
1, 3330, Tempo, 1714286
1, 3360, Tempo, 1411765
1, 3720, Tempo, 1445783
1, 3780, Tempo, 1518987
1, 3810, Tempo, 1690141
1, 3840, Tempo, 1739130
1, 3960, Tempo, 1578947
1, 4080, Tempo, 1739130
1, 4200, Tempo, 1578947
1, 4305, Tempo, 1904762
1, 4320, Tempo, 1481481
1, 4770, Tempo, 1739130
1, 4800, Tempo, 1846154
1, 4920, Tempo, 1643836
1, 5040, Tempo, 1818182
1, 5160, Tempo, 1621622
1, 5265, Tempo, 2033898
1, 5280, Tempo, 1518987
1, 5520, Tempo, 1538462
1, 5640, Tempo, 1643836
1, 5760, Tempo, 1411765
1, 5940, Tempo, 1600000
1, 5965, Tempo, 1875000
1, 6000, Tempo, 1318681
1, 6120, Tempo, 1643836
1, 6180, Tempo, 750000
1, 6225, Tempo, 1538462
1, 6240, Tempo, 402685
1, 6240, Marker_t, "Allegro con brio"
1, 6360, Tempo, 330579
1, 6480, Tempo, 291971
1, 6720, Tempo, 303030
1, 6960, Tempo, 281690
1, 7200, Tempo, 303030
1, 7440, Tempo, 281690
1, 7680, Tempo, 303030
1, 7920, Tempo, 281690
1, 8160, Tempo, 303030
1, 8400, Tempo, 281690
1, 8640, Tempo, 303030
1, 8880, Tempo, 281690
1, 9120, Tempo, 303030
1, 9360, Tempo, 281690
1, 9600, Tempo, 303030
1, 9840, Tempo, 281690
1, 10080, Tempo, 303030
1, 10320, Tempo, 281690
1, 10560, Tempo, 303030
1, 10800, Tempo, 281690
1, 11040, Tempo, 303030
1, 11280, Tempo, 281690
1, 11520, Tempo, 303030
1, 11760, Tempo, 281690
1, 12000, Tempo, 303030
1, 12240, Tempo, 281690
1, 12480, Tempo, 303030
1, 12720, Tempo, 281690
1, 12960, Tempo, 303030
1, 13200, Tempo, 281690
1, 13440, Tempo, 303030
1, 13680, Tempo, 281690
1, 13920, Tempo, 303030
1, 14160, Tempo, 281690
1, 14400, Tempo, 303030
1, 14640, Tempo, 281690
1, 14880, Tempo, 303030
1, 15120, Tempo, 281690
1, 15360, Tempo, 303030
1, 15600, Tempo, 281690
1, 15780, Tempo, 326975
1, 15840, Tempo, 303030
1, 16080, Tempo, 281690
1, 16320, Tempo, 303030
1, 16560, Tempo, 281690
1, 16800, Tempo, 303030
1, 17040, Tempo, 281690
1, 17280, Tempo, 303030
1, 17520, Tempo, 281690
1, 17760, Tempo, 303030
1, 18000, Tempo, 281690
1, 18240, Tempo, 303030
1, 18480, Tempo, 281690
1, 18720, Tempo, 303030
1, 18960, Tempo, 281690
1, 19200, Tempo, 303030
1, 19440, Tempo, 281690
1, 19680, Tempo, 303030
1, 19920, Tempo, 281690
1, 21600, Tempo, 303030
1, 21840, Tempo, 281690
1, 22080, Tempo, 303030
1, 22320, Tempo, 281690
1, 22560, Tempo, 303030
1, 22800, Tempo, 281690
1, 23040, Tempo, 303030
1, 23280, Tempo, 281690
1, 23520, Tempo, 303030
1, 23760, Tempo, 281690
1, 24000, Tempo, 303030
1, 24240, Tempo, 281690
1, 24480, Tempo, 303030
1, 24720, Tempo, 281690
1, 24960, Tempo, 303030
1, 25200, Tempo, 352941
1, 25440, Tempo, 319149
1, 25680, Tempo, 302267
1, 25920, Tempo, 310881
1, 26160, Tempo, 295567
1, 26400, Tempo, 310881
1, 26640, Tempo, 295567
1, 26880, Tempo, 310881
1, 27120, Tempo, 295567
1, 27360, Tempo, 310881
1, 27600, Tempo, 295567
1, 27840, Tempo, 310881
1, 28080, Tempo, 295567
1, 28320, Tempo, 310881
1, 28560, Tempo, 295567
1, 28800, Tempo, 310881
1, 28920, Tempo, 316623
1, 29040, Tempo, 303797
1, 29280, Tempo, 310881
1, 29520, Tempo, 295567
1, 29760, Tempo, 310881
1, 30000, Tempo, 295567
1, 30240, Tempo, 310881
1, 30480, Tempo, 295567
1, 30720, Tempo, 310881
1, 30960, Tempo, 295567
1, 31200, Tempo, 307692
1, 31440, Tempo, 292683
1, 31680, Tempo, 306122
1, 31920, Tempo, 291971
1, 32160, Tempo, 303030
1, 32400, Tempo, 289157
1, 32640, Tempo, 300000
1, 32880, Tempo, 285714
1, 33120, Tempo, 303030
1, 33360, Tempo, 281690
1, 33600, Tempo, 303030
1, 33840, Tempo, 281690
1, 34080, Tempo, 303030
1, 34320, Tempo, 281690
1, 34560, Tempo, 303030
1, 34800, Tempo, 281690
1, 35040, Tempo, 303030
1, 35280, Tempo, 281690
1, 35520, Tempo, 303030
1, 35760, Tempo, 281690
1, 36480, Tempo, 303030
1, 36720, Tempo, 291971
1, 36900, Tempo, 375000
1, 36960, Tempo, 321716
1, 37200, Tempo, 306122
1, 37440, Tempo, 310881
1, 37680, Tempo, 295567
1, 37920, Tempo, 310881
1, 38160, Tempo, 295567
1, 38400, Tempo, 310881
1, 38640, Tempo, 295567
1, 38880, Tempo, 310881
1, 39120, Tempo, 300752
1, 39300, Tempo, 352941
1, 39360, Tempo, 314961
1, 39600, Tempo, 301508
1, 39840, Tempo, 315789
1, 40080, Tempo, 301508
1, 40320, Tempo, 315789
1, 40560, Tempo, 300000
1, 40740, Tempo, 347826
1, 40800, Tempo, 310881
1, 41040, Tempo, 292683
1, 41280, Tempo, 305344
1, 41520, Tempo, 289855
1, 41760, Tempo, 302267
1, 42000, Tempo, 285714
1, 42180, Tempo, 338028
1, 42240, Tempo, 303030
1, 42480, Tempo, 281690
1, 42720, Tempo, 303030
1, 42960, Tempo, 281690
1, 43200, Tempo, 303030
1, 43440, Tempo, 281690
1, 43680, Tempo, 303030
1, 43920, Tempo, 281690
1, 44160, Tempo, 303030
1, 44400, Tempo, 281690
1, 44640, Tempo, 303030
1, 44880, Tempo, 281690
1, 45120, Tempo, 303030
1, 45360, Tempo, 281690
1, 45600, Tempo, 303030
1, 45840, Tempo, 281690
1, 46080, Tempo, 303030
1, 46320, Tempo, 281690
1, 46560, Tempo, 303030
1, 46800, Tempo, 281690
1, 47040, Tempo, 303030
1, 47280, Tempo, 281690
1, 47520, Tempo, 303030
1, 47760, Tempo, 281690
1, 48000, Tempo, 303030
1, 48240, Tempo, 291262
1, 48480, Tempo, 303030
1, 48720, Tempo, 292683
1, 48960, Tempo, 303030
1, 49200, Tempo, 292683
1, 49440, Tempo, 303030
1, 49680, Tempo, 292683
1, 49920, Tempo, 301508
1, 50160, Tempo, 291971
